Date,Title,Address,City,State,Beds,Baths,Rent,SQFT
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,237-1,612",631 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,278-1,551",631 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,337-1,918",637 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,360-1,647",637 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,422-1,950",769 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,434-1,736",769 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,559-1,872",769 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,743-3,375","1,256 Sq Ft"
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,858-2,554","1,256 Sq Ft"
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,428-2,259",901 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,428-1,748",901 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,610-1,950",769 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,467-1,793",769 Sq Ft
4/7/2019,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,689-3,349","1,108 Sq Ft"
