Date,Title,Address,City,State,Beds,Baths,Rent,SQFT
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,399-1,559",840 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,532-1,692",993 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,759","1,039 Sq Ft"
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,699-1,859","1,298 Sq Ft"
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,200-1,419",610 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,459-1,534",687 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,399-1,559",840 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,532-1,692",993 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,759","1,039 Sq Ft"
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,200-1,419",610 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,459-1,534",687 Sq Ft
2019-06-14,Radius On Grove,"2301 Grove Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,699-1,859","1,298 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,"$1,106-1,572",624 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,"$1,145-1,663",825 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,"$1,770-2,556","1,139 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,3BRs,2Bathrooms,"$1,859-2,769","1,393 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,"$1,589-2,116",909 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,CallforRent,923 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,CallforRent,"1,125 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,CallforRent,999 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,CallforRent,"1,299 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,CallforRent,"1,233 - 1,299 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,"$1,106-1,572",624 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,"$1,145-1,663",825 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,"$1,589-2,116",909 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,CallforRent,923 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,1Bedroom,1Bathroom,CallforRent,"1,125 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,"$1,770-2,556","1,139 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,CallforRent,999 Sq Ft
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,CallforRent,"1,299 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,2BRs,2Bathrooms,CallforRent,"1,233 - 1,299 Sq Ft"
2019-06-14,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,","Austin,",TX,3BRs,2Bathrooms,"$1,859-2,769","1,393 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,234-2,482",806 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,234-2,482",806 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,234-2,482",806 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,274-2,556",840 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,274-2,556",840 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,274-2,556",840 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,274-2,556",840 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,324-3,221",903 - 907 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,334-2,667",907 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,334-2,667",907 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,354-2,704",907 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,1Bathroom,"$1,450-3,565","1,077 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,1Bathroom,"$1,450-3,565","1,077 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,1Bathroom,"$1,515-3,708","1,181 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,1Bathroom,"$1,515-3,708","1,181 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,2Bathrooms,"$1,590-4,299","1,259 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,2Bathrooms,"$1,590-3,873","1,259 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,2Bathrooms,"$1,610-3,917","1,259 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,194-2,951",804 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,209-2,473",804 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,2BRs,2Bathrooms,"$1,610-3,328","1,259 Sq Ft"
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,215-2,918",804 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,215-2,918",804 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,194-2,961",750 Sq Ft
2019-06-14,Century Travesia,"4301 Grand Avenue Pky,","Austin,",TX,1Bedroom,1Bathroom,"$1,201-2,935",750 Sq Ft
